Country,2050,2040,2030,2020,2010,2000,1990,1980,1970,1960,1950,Region,Lat,Long
Yemen,54.1,48.6,43.2,37.5,31.7,26.3,20.9,16.5,13.3,9.1,5.8,Eastern Mediterranean,24,54
Albania,75.8,72.8,68.8,62,52.2,41.7,36.4,33.8,31.7,30.7,20.5,Europe,15,48
Armenia,70.5,66.8,63.5,62.3,63.6,64.7,67.4,66.1,59.9,51.3,40.3,Europe,41,20
Austria,74.7,71.5,68.4,66.4,65.9,65.8,65.8,65.4,65.3,64.7,63.6,Europe,40,45
Azerbaijan,68,64,59.8,56.1,53.4,51.4,53.7,52.8,50,52.7,45.7,Europe,47.3,13.3
Belarus,85.2,83.4,81.4,78.5,74.6,70,66,56.5,44,32.4,26.2,Europe,40.5,47.5
Belgium,98.6,98.5,98.3,98,97.6,97.1,96.4,95.4,93.8,92.5,91.5,Europe,53,28
Bosnia and Herzegovina,55.2,49.9,44.6,40.8,39.2,39.3,39.2,35.5,27.2,19,13.7,Europe,50.8,4
Bulgaria,82.8,80.7,78.3,75.5,72.3,68.9,66.4,62.1,52.3,37.1,27.6,Europe,44,18
Croatia,72.3,68.6,64.6,60.7,57.5,55.6,54,50.1,40.2,30.2,22.3,Europe,43,25
Cyprus,72.1,69.6,67.4,66.7,67.6,68.6,66.8,58.6,40.8,35.6,28.4,Europe,45.2,15.5
Denmark,91.9,91,89.9,88.5,86.8,85.1,84.8,83.7,79.7,73.7,68,Europe,35,33
Estonia,72.7,70.3,68.1,67.3,68.1,69.4,71.2,69.7,64.9,57.5,49.7,Europe,56,10
Finland,89.1,87.8,86.3,84.9,83.6,82.2,79.4,71.7,63.7,55.3,43,Europe,59,26
France,86.3,84.6,82.7,80.6,78.3,75.9,74.1,73.3,71.1,61.9,55.2,Europe,64,26
Georgia,66,61.8,57.7,54.7,52.9,52.6,55,52.5,48,43.1,36.9,Europe,46,2
Germany,83,80.9,78.6,76.4,74.3,73.1,73.1,72.8,72.3,71.4,68.1,Europe,42,43.5
Greece,85.8,84.1,82.1,79.5,76.3,72.7,71.5,69.3,64.2,55.9,52.2,Europe,51,9
Hungary,81.8,79.6,76.9,73.4,68.9,64.6,65.8,64.2,60.1,55.9,53,Europe,39,22
Iceland,96.1,95.7,95.2,94.6,93.6,92.4,90.8,88.3,84.9,80.3,72.8,Europe,47,20
Ireland,74.6,71.4,68,64.8,61.8,59.1,56.9,55.3,51.7,45.8,40.1,Europe,65,-18
Israel,94.5,93.8,93.2,92.5,91.8,91.2,90.4,88.6,84.2,76.8,71,Europe,53,-8
Italy,77.7,74.9,72.1,69.8,68.3,67.2,66.7,66.6,64.3,59.4,54.1,Europe,31.5,34.8
Kazakhstan,64.6,60.1,55.8,53.4,53.7,55.7,56.3,54.1,50.2,44.2,36.4,Europe,42.8,12.8
Kyrgyzstan,50.8,45.3,40.1,36.6,35.3,35.3,37.8,38.6,37.5,34.2,26.5,Europe,48,68
Latvia,74.8,71.7,68.8,67.4,67.7,68.1,69.3,67.1,60.7,52.9,46.4,Europe,41,75
Lithuania,74.7,71.5,68.4,66.7,66.8,67,67.6,61.2,49.6,39.5,28.8,Europe,57,25
Luxembourg,94.3,93.7,92.9,91.4,88.5,84.2,80.9,80,74.4,69.6,67.2,Europe,56,24
Malta,97.2,96.9,96.6,95.9,94.7,92.4,90.4,89.8,89.7,90.1,88.9,Europe,49.8,6.2
Montenegro,72.4,69.9,67.3,65,63.1,58.5,48,36.8,26.9,18.8,12.7,Europe,35.8,14.6
Netherlands,96.4,96,95.1,92.8,87.1,76.8,68.7,64.7,61.7,59.8,56.1,Europe,42,19
Norway,87.2,85.7,83.9,81.7,79.1,76.1,72,70.5,65.4,49.9,50.5,Europe,52.5,5.8
Poland,70,66.2,62.6,60.7,60.9,61.7,61.3,58.1,52.1,47.9,38.3,Europe,62,10
Portugal,76.8,73.9,70.6,66.1,60.6,54.4,47.9,42.8,38.8,35,31.2,Europe,52,20
Romania,66.8,62.7,58.7,55.6,53.8,53,53.2,46.1,40.3,34.2,25.6,Europe,39.5,-8
Russian Federation,81.1,78.7,76.3,74.6,73.7,73.4,73.4,69.8,62.5,53.7,44.1,Europe,46,25
Serbia,67,62.9,58.9,56.3,55.2,53.2,50.4,46.1,39.7,29.1,20.3,Europe,60,100
Slovakia,63.4,58.8,54.7,53.2,54.7,56.2,56.5,51.6,41.1,33.5,30,Europe,44,21
Slovenia,60.6,55.8,51.7,49.8,50,50.8,50.4,48,37,28.2,19.9,Europe,48.7,19.5
Spain,86.3,84.6,82.7,80.7,78.4,76.3,75.4,72.8,66,56.6,51.9,Europe,46,15
Sweden,90.3,89.2,87.9,86.6,85.1,84,83.1,83.1,81,72.5,65.7,Europe,40,-4
Switzerland,80.8,78.4,76.1,74.4,73.7,73.3,73.2,57.1,57.4,51,44.4,Europe,62,15
Tajikistan,41,35.4,30.4,27.5,26.5,26.5,31.7,34.3,36.9,33.2,29.4,Europe,47,8
Turkey,83.7,81.7,79.3,75.7,70.7,64.7,59.2,43.8,38.2,31.5,24.8,Europe,39,71
Turkmenistan,65.5,61,56.4,51.9,48.4,45.9,45.1,47.1,47.8,46.4,45,Europe,39,35
Ukraine,79,76.3,73.5,70.8,68.7,67.1,66.8,61.7,54.8,46.8,35.5,Europe,40,60
Uzbekistan,51.9,46.3,40.9,37.2,36.2,37.4,40.2,40.8,36.7,34,28.9,Europe,49,32
Country,2050,2040,2030,2020,2010,2000,1990,1980,1970,1960,1950,Region,41,64
Bangladesh,55.7,50.5,44.9,38,30.5,23.6,19.8,14.9,7.6,5.1,4.3,South-East Asia,24,90
Bhutan,55,51.7,47.9,42.2,34.8,25.4,16.4,10.1,6.1,3.6,2.1,South-East Asia,27.5,90.5
India,50.3,44.8,39.5,34.8,30.9,27.7,25.5,23.1,19.8,17.9,17,South-East Asia,20,77
Indonesia,70.9,67.2,63,57.2,49.9,42,30.6,22.1,17.1,14.6,12.4,South-East Asia,-5,120
Maldives,62.5,59.4,56.2,50.2,40,27.7,25.8,22.3,11.9,11.2,10.6,South-East Asia,3.2,73
Myanmar,54.9,48.8,42.8,36.9,31.4,27,24.6,24,22.8,19.2,16.2,South-East Asia,22,98
Nepal,35.6,30.1,25.1,20.6,16.8,13.4,8.9,6.1,4,3.5,2.7,South-East Asia,28,84
Sri Lanka,30.2,25,20.9,18.8,18.3,18.4,18.6,18.8,19.5,16.4,15.3,South-East Asia,7,81
Thailand,71.8,68.2,63.9,55.8,44.1,31.4,29.4,26.8,20.9,19.7,16.5,South-East Asia,15,100
Timor-Leste,48.3,44.8,41,35.8,29.5,24.3,20.8,16.5,12.9,10.1,9.9,South-East Asia,-8.6,125.5
Australia,92.9,92.1,91.2,90.1,88.7,87.2,85.4,85.8,85.3,81.5,77,Western Pacific,-27,133
Brunei Darussalam,84,82.4,80.7,78.6,75.5,71.2,65.8,59.9,61.7,43.4,26.8,Western Pacific,4.5,114.7
Cambodia,36.2,30.6,25.6,22,19.8,18.6,15.5,9.9,16,10.3,10.2,Western Pacific,13,105
China,75.8,72.8,68.7,61,49.2,35.9,26.4,19.4,17.4,16.2,11.8,Western Pacific,35,105
Fiji,65,62,59,55.6,51.8,47.9,41.6,37.8,34.8,29.7,24.4,Western Pacific,-18,175
Japan,97.7,97.4,96.9,95.3,90.5,78.6,77.3,76.2,71.9,63.3,53.4,Western Pacific,36,138
Kiribati,54.5,51.1,47.8,45.1,43.8,43,35,32.3,24.1,16.3,11,Western Pacific,1.4,173
Lao People's Democratic Republic,60.8,55.9,50.9,43.5,33.1,22,15.4,12.4,9.6,7.9,7.2,Western Pacific,18,105
Malaysia,85.9,84.2,81.9,77.7,70.9,62,49.8,42,33.5,26.6,20.4,Western Pacific,2.5,112.5
Mongolia,84.8,82.9,80.4,75.6,67.6,57.1,57,52.1,45.1,35.7,20,Western Pacific,46,105
New Zealand,89.8,88.6,87.4,86.5,86.2,85.7,84.7,83.4,81.1,76,72.5,Western Pacific,-41,174
Papua New Guinea,22.7,18.3,15,13.3,13,13.2,15,13,9.8,3.7,1.7,Western Pacific,-6,147
Philippines,56.3,51.1,46.3,44.3,45.3,48,48.6,37.5,33,30.3,27.1,Western Pacific,13,122
Samoa,23.4,20.7,18.8,18.6,20.1,22,21.2,21.2,20.4,18.9,12.9,Western Pacific,-13.6,-172.3
Singapore,100,100,100,100,100,100,100,100,100,100,99.4,Western Pacific,1.4,103.8
Solomon Islands,35.2,31.9,28.6,24.5,20,15.8,13.7,10.6,8.9,5.8,3.8,Western Pacific,-8,159
Tonga,31.9,28.7,26,24.2,23.4,23,22.7,21.2,20.2,17.6,12.9,Western Pacific,-20,-175
Vanuatu,37.5,34.2,30.9,27.7,24.6,21.7,18.7,14.7,12.3,10.4,8.8,Western Pacific,-16,167
Viet Nam,53.8,48.4,43,36.8,30.4,24.4,20.3,19.2,18.3,14.7,11.6,Western Pacific,16,106
